,feature,VIF
0,const,170.6626144843211
1,danceability,1.5659848311477735
2,energy,4.261456653236181
3,key,1.0228273629737743
4,loudness,3.2692755375843228
5,mode,1.0416462981105663
6,speechiness,1.1463488938033566
7,acousticness,2.417360785651968
8,instrumentalness,1.4705131303587002
9,liveness,1.1585251127297496
10,valence,1.6007426314521138
11,tempo,1.0963525206703417
12,time_signature,1.082553786032189
13,duration_min,1.0520973904454594
