,Model,Train RMSE,Test RMSE,CV Error
0,Multiple Linear Reg,20.27896068023292,20.032046519920033,20.031338357655716
1,+ Ridge,20.278963457754045,20.031911437620085,20.030884728880018
2,+ LASSO,20.27898222902422,20.03211192982917,20.031258034921237
